id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,instrumentalness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,upbeat|carefree|summery,0.12,0.08
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020,focused|calm|ambient,0.85,0.05
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010,aggressive|anthemic|driving,0.20,0.35
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020,calm|dreamy|ambient,0.90,0.04
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020,aggressive|motivational|driving,0.08,0.12
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,42,2010,ethereal|cinematic|meditative,0.95,0.02
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,48,2000,nostalgic|warm|intimate,0.65,0.55
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,61,2010,nostalgic|cinematic|retrofuturistic,0.72,0.06
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,70,2020,focused|calm|minimalist,0.88,0.03
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,67,2010,upbeat|carefree|warm,0.15,0.18
11,Golden Hour Drive,The Runbacks,hip-hop,energetic,0.78,95,0.72,0.85,0.08,82,2020,motivational|confident|cruising,0.10,0.14
12,Hollow Mountain,Ember & Ash,folk,melancholic,0.31,70,0.32,0.38,0.88,38,2010,melancholic|introspective|cinematic,0.40,0.42
13,Velvet Nights,Sable June,r&b,romantic,0.55,88,0.76,0.71,0.42,74,2010,romantic|intimate|warm,0.22,0.10
14,Pulse Grid,Circuit Bloom,edm,euphoric,0.96,128,0.89,0.94,0.03,88,2020,euphoric|driving|anthemic,0.82,0.08
15,3AM Rain,Walter Blue,blues,sad,0.33,68,0.28,0.44,0.67,32,2000,melancholic|introspective|raw,0.35,0.62
16,Dusty Road Home,Calloway West,country,nostalgic,0.48,96,0.63,0.58,0.74,44,2000,nostalgic|warm|storytelling,0.28,0.30
17,Island Drift,Coral Static,reggae,dreamy,0.52,82,0.78,0.76,0.55,51,2010,dreamy|carefree|warm,0.30,0.25
18,Glass Cathedral,Pale Nave,classical,peaceful,0.22,58,0.68,0.28,0.95,35,2000,cinematic|meditative|serene,0.98,0.15
